Tweet,Sentiment
Punjab walo tum ney dill jeet liya hai tum logu ney is imported gov ke bunyad hila kr rukh d hai ab isko girny say koi nhe bacha sakay ga   Punjab k hr us voter ko salam jis ney is imported gov k khilaf vote kiya      ,neg
 Subservient Lifafa Chaprasi of Shameful Boot Polishing   you were reporting something else earlier on       ,neg
                                                  IK is love         ,neg
Masha Allah  Allah nazar e bad say bachay  Aameen     ,neu
                                                                                                       NeedsElections,neg
Dp is excellent        ,neu
Alhamdulilah  Allah Al Haqq hai          ,neu
No doubt          ,neu
 WakeUP Subservient Lifafa Chaprasi of Shameful Boot Polishing   who were hoisted by their own petard after VONC shouldve gone straight   elections instead acting on  Plan    ,neg
 This is the reason behind PTI win               ,neg
              videos    disappointment                                                                                            You are a good person so please believe in Allah and don t be disappoint    ,neu
The by elections results  just proved it  Hats off to the team PTI and Imran Khan    ,neg
Alhamdulilah  Allah is with thee truth         ,neu
 Reminder to ALL   Products  amp  teach both economics  amp  politics to  a Subservient Chaprasi of Shameful Boot Polishing        ,neg
                                                                  Thank you Pakistan  the lotas and imported government stands defeated        ,neg
 As expected      Same result today               ,neu
There is only ONE SUPER POWER                              ,neu
 Ye awam Khan ky sath ha hum Or Khan hamari jan ha ab tum ja ky dramy kro jo tumhara kam ha   ,neg
The end of the beginning  people is state and state is people  Pakistan wants strong establishment and a neutral one  Pakistan needs strong judiciary and a neutral one  Again  state is Pakistan and Pakistan is state   ,neu
Aj apny plots ka nahe Pakistan ka sochle ham bloody civilians ka sochlen        ,neu
Heavy numbers of Army personnel being deployed in Islamabad  Whats cooking up guys    ,neu
  Ahsan Iqbal representing imported government in APPNA convention in USA    getting lot of chittar parade from doctors  what a shame for imported government  if they ever feel                ,neg
  Ahsan Iqbal representing imported government in APPNA convention in USA    getting lot of chittar parade from doctors  what a shame for imported government  if they ever feel                ,neg
  Ahsan Iqbal representing imported government in APPNA convention in USA    getting lot of chittar parade from doctors  what a shame for imported government  if they ever feel                ,neg
  Ahsan Iqbal representing imported government in APPNA convention in USA    getting lot of chittar parade from doctors  what a shame for imported government  if they ever feel                ,neg
Today  people of Pakistan will win  Pakistan will conquer Pakistan  Wait and see  The days are over for this imported regime        ,neg
  is a Subservient Lifafa Chaprasi of Shameful Boot Polishing   that were hoisted by their own petard after VONC shouldve gone straight to elections instead acted on  script     ,neg
Pakistan should get the award for equal opportunity employer  We have Deaf   Blind and Mindless People at various important positions     ,neu
Zabardast         ,neu
As usual rigging  since they are in power they have olive power judges and so many others they buy people with money and PMLN is famous for this they have not won a single ellection without rigging   ,neg
  Ye aurat pagal ho chuki ha ye sary item pindi ky tiktokers hain    ,neu
We need elections  Imran Khan is my leader       ,neg
 You solving any issue   not in trillion years   ,neu
                                            july   ,neu
YouTubers and social media people  imported government  police and handlers are afraid of them now  This is the power  We are not in   s now      ,neg
       dreamer                                                    ,neu
                                                                                  stakeholders      ,neu
Violence against Pathans in Sindh  and this behaviour of Punjab Police  This is fascism        ,neu
IK is love           ,neg
 Subservient Lifafa Chaprasi of Shameful Boot Polishing   that were hoisted by their own petard after VONC shouldve gone straight to elections instead acted on  script      ,neg
 Shameful Boot Polishing   Chaprasi hoisted by your own petard after VONC shouldve gone straight to elections instead of acting on  script       ,neg
We need elections  Imran Khan is my leader       ,neg
Same position in pakistan               ,neu
        Rejects   of  Gov for SAYING   amp  Pursuing Independent  Wanting to be Partners in Peace Not in War  NeedsElections  ,neg
             Inkilab a nahi raha Inkilab  a chuka hai   ,neu
             Rejects   of  Gov for SAYING   amp  Pursuing Independent  Wanting to be Partners in Peace Not in WaR     UnderFascism NeedsElections    ,neg
We want IK back         ,neg
   Day to day Islamic Republic Pakistan V bad Critical Situations Disturbing  Due to USA  Interfacing like That   Beggars can t be choosers     Everywhere Dirty Ewer System             ,neg
Excellent               ,neu
Day to day Islamic Republic Pakistan V bad Critical Situations Disturbing  Due to USA  Interfacing like That   Beggars can t be choosers     Everywhere Dirty Ewer System        ,neg
     zabrdast      Geo murshad imran khan zindabad         ,neg
Every rise cruelty has fall end               ,neu
Face the reality  you aren t fit to run the country  The sinking economy is your fault  There s no point in blaming     You re unelected and have no mandate to sit in the seat of PM          ,neu
May your happiness increase like petrol price  may your sorrow fall like Pakistani rupee  and joy fill your heart like corruption in Pakistan       ,neu
Meaning Full                ,neu
A genuine leader is not a  searcher for consensus   but a molder of consensus          ,neu
We need elections  Imran Khan is my leader       ,neg
     zabrdast      Geo murshad imran khan zindabad         ,neg
  Chor chor chor   ,neg
He was stopped at the airport on his way to Dubai for lab tests  confirming his fears of being poisoned while in police custody  May Allah Gives him a long life Amin          ,neu
It s our right to get our rights from the corrupted criminals or say mafia    Lar kar leingae hum AZADI  Cheen kar leingae hum AZADI  Haq hain ha ara sirf AZADI            for ur Haq ,neu
     PakistanNeedsElections  ,neg
Supreme Leaders of Iran  North Korea and Pakistan       ,neu
Proud leader                 ,neu
Release him  Stop his thug system            ,neu
IMPORTED HUKUMAT NAMANZOOR      ,neg
CJP resign now  Give the authority to someone who is not the puppet of the imp Govt          ,neg
Overseas Pakistani Remittance send karna band kar dein No vote Right No Remittance deikhte kaun    Billion in ko deta hay  Chief of Army Staff  COAS  General Qamar Javed Bajwa Qadiani harami  Awaam Neutral ho ghay    ,neu
Very good       ,neu
MashAllah      ,neu
PEHLAY  PHIR    socho agar  rd Imran Khan bhi kahin se nikal aye to kya ho banay ga  ka  PIC ABHI SHURU HUI HAI    ,neg
 indeed criminal government support criminal   This is your third Class Justice System     These are guy s you imposed on us       ,neg
Hamza was holding the CM office unconstituionally    Question for SCP  Will you take action against him under Article        ,neg
 Jalsa       ,neu
                                                          IMF                                            ,neu
We need elections  Imran Khan is my leader       ,neg
Civil war is lingering over our heads                     ,neu
                                                      Yes                         ,neu
Pakistan Zindabad      ,neu
Allah ki lathi beawaaz hai InshaAllah ab inki pakar hogi jaldi   voteOnjuly       ,neu
                                                                                                                                                                      for PTI    ,neg
                        for PTI    ,neg
                                                                       and a my patriotic Journalists    CONGRATULATIONS      ,neu
                  for PTI    ,neg
                                                    via ,neu
We need elections  Imran Khan is my leader       ,neg
                                                     Yes                         ,neu
Where is he now          ,neu
If this election becomes another      s election  the nation will not sit back  We need a fair election    X   Y       ,neg
Who investigates the CJ when he himself becomes involoved in treason   amp  bribery          ,neu
The surveys are all fake  Vote share of PTI is         in all constituencies    And PTI is not winning        or    seats  It s winning all     In shaa Allah    NeedsImranKhan NeedsElections   ,neg
                                                                                                                    for PTI  ,neg
                                                    HasToGo                via ,neu
                       for PTI    ,neg
                         for PTI    ,neg
       for PTI  ,neg
Bas yehi sunney ko reh gya tha   shame on           ,neu
We need elections  Imran Khan is my leader       ,neg
                                                                                           IK is love        ,neg
Punjab mark July   th  Give up everythin else n go out  Vote  Protect it  Defend ur ballot  Die if needed  But do it    Our future is at stake  Pakistan is at stake  We are at stake         ,neu
                                                                              IK is love         ,neg
                  IK is love        ,neg
